english,urdu
independence of judi ciary; that the judicial independence has nexus with the appointment process; that it is unworkable and impracticable inasmuch as the nominations made by the Judicial Commission are subject to scrutiny by the Parliamentary Committee which is empowered to confirm and forward the nominations of the Commission to the President for appointme nt under clauses (12) and (1 3) of Article 175A ; that the Parliamentary Committee has been given veto powers and even a unanimous recommendation made by the Judicial Commission can be vetoed by six out of eight members selected from the Parliament; that the insertion of this new Article is a product of mala fides and that the process of appointment of Judges will have an adverse effect on judicial independence as it is likely not only to make the appointment process political but would even otherwise affect its structural insularity which is an essential element of judicial independence.,عدلیہ کی آزادی؛ کہ عدالتی آزادی کا تقرری کے عمل سے گٹھ جوڑ ہے۔ کہ یہ ناقابل عمل اور ناقابل عمل ہے کیونکہ جوڈیشل کمیشن کی طرف سے کی گئی نامزدگیاں پارلیمانی کمیٹی کے ذریعے جانچ پڑتال کے تابع ہیں جو کہ آرٹیکل 175A کی شق (12) اور (1 3) کے تحت تقرری کے لیے کمیشن کی نامزدگیوں کی تصدیق اور صدر کو بھیجنے کا اختیار رکھتی ہے۔ کہ پارلیمانی کمیٹی کو ویٹو کا اختیار دیا گیا ہے اور یہاں تک کہ جوڈیشل کمیشن کی طرف سے دی گئی متفقہ سفارش کو پارلیمنٹ سے منتخب کردہ آٹھ میں سے چھ ارکان ویٹو کر سکتے ہیں۔ کہ اس نئے آرٹیکل کا اندراج بد نیتی کی پیداوار ہے اور یہ کہ ججوں کی تقرری کا عمل عدلیہ کی آزادی پر منفی اثر ڈالے گا کیونکہ اس سے نہ صرف تقرری کے عمل کو سیاسی بنانے کا امکان ہے بلکہ دوسری صورت میں اس کی ساختی عدم استحکام پر بھی اثر پڑے گا جو کہ عدالتی آزادی کا ایک لازمی عنصر ہے۔
"It was argued that this Court has power of judicial review of constitutional amendments, if the basic structure/ features or the core values have been tinkered with.",یہ استدلال کیا گیا تھا کہ اس عدالت کے پاس آئینی ترامیم کا عدالتی جائزہ لینے کا اختیار ہے، اگر بنیادی ڈھانچہ/خصوصیات یا بنیادی اقدار کے ساتھ چھیڑ چھاڑ کی گئی ہو۔
"While pra ying for striking down the provisions under challenge , the concept of basic structure was pressed into service and it was maintained that the principle of substantive limits on the power to amend the Constitution has become a part of constitutional law in several liberal democracies.",چیلنج کے تحت شقوں کو ختم کرنے کے لئے پرا ینگ کے دوران، بنیادی ڈھانچے کے تصور کو استعمال میں لایا گیا اور یہ برقرار رکھا گیا کہ آئین میں ترمیم کرنے کے اختیارات پر بنیادی حدود کا اصول کئی لبرل جمہوریتوں میں آئینی قانون کا حصہ بن چکا ہے۔
Reference was made to the judgments rendered by the Supreme Courts of India and Bangladesh where the amendments were struck down on the touchstone of basic structure .,ہندوستان اور بنگلہ دیش کی سپریم کورٹس کی طرف سے دیے گئے فیصلوں کا حوالہ دیا گیا جہاں بنیادی ڈھانچے کے ٹچ اسٹون پر ترامیم کی گئی تھیں۔
"It was submitted that the basic structure of the Constitutio n of Pakistan was even acknowledged by this Court in Mahmood Khan Achakzai v. Federation of Pakistan (PLD 1997 SC 426) and Syed Zafar Ali Shah v. General Pervez Musharraf, Chief Executive of Pakistan (PLD 2000 SC 869) and even in Wukala Mahaz Barai Thafaz Dastoor v. Federation of Pakistan (PLD 1998 SC 1263) but the Court did not deem it proper to make it a touchstone to strike down a constitutional provision.",عرض کیا گیا کہ پاکستان کے آئین کے بنیادی ڈھانچے کو اس عدالت نے محمود خان اچکزئی بنام فیڈریشن آف پاکستان (PLD 1997 SC 426) اور سید ظفر علی شاہ بمقابلہ جنرل پرویز مشرف، چیف ایگزیکٹو آف پاکستان (PLD 2000 اور SC 86) حتیٰ کہ محاز الثقافت 86 میں بھی تسلیم کیا تھا۔ فیڈریشن آف پاکستان (PLD 1998 SC 1263) لیکن عدالت نے آئینی شق کو ختم کرنے کے لیے اسے ٹچ اسٹون بنانا مناسب نہیں سمجھا۔
"These judgments, it was further argued, needed re-visiting.",ان فیصلوں پر، مزید استدلال کیا گیا، دوبارہ دیکھنے کی ضرورت ہے۔
"Learned Attorney General for Pakistan, Maulvi Anwar -ul-Haq, learned Additional Attorney General , Mr. K. K. Agha and the learned counsel appearing for the Federation Mr. Wasim Sajjad, ASC defended the impugned provisions by submitting that the concept of basic structure as a touchston e to strike down a constitutional provision is alien to our jurisprudence and this Court may not like to review its own judgments as no good grounds have been canvassed so far , to warrant re-visiting .",پاکستان کے ماہر اٹارنی جنرل مولوی انوار الحق، فاضل ایڈیشنل اٹارنی جنرل مسٹر کے کے آغا اور فیڈریشن کی طرف سے پیش ہونے والے ماہر وکیل مسٹر وسیم سجاد، اے ایس سی نے یہ عرض کرتے ہوئے غیر قانونی دفعات کا دفاع کیا کہ بنیادی ڈھانچے کا تصور ایک ٹچسٹن کے طور پر کسی آئینی شق کو ختم کرنے اور اس کی عدالت کی طرح اس پر نظرثانی کرنے کے لیے اپنی عدالتی کارروائی نہیں ہوسکتی۔ ابھی تک کوئی اچھی بنیاد کے طور پر فیصلے نہیں کیے گئے ہیں، دوبارہ وزٹ کرنے کی ضمانت دینے کے لیے۔
Learned counsel appearing for the Province of Punjab Mr .,صوبہ پنجاب کی طرف سے پیش ہونے والے ماہر وکیل مسٹر .
"Shahid Hamid , ASC defended the impugned amendment.",شاہد حامد، اے ایس سی نے کالعدم ترمیم کا دفاع کیا۔
"He, however, in all fairness, admitted that the enforcement of Article 175A may raise certain issues and it would be in fitness of things if the matter is referred to the Parliament for re -consideration in terms of Article 267 A of the Constitution.",تاہم، انہوں نے پوری منصفانہ انداز میں اعتراف کیا کہ آرٹیکل 175A کے نفاذ سے بعض مسائل پیدا ہوسکتے ہیں اور اگر یہ معاملہ آئین کے آرٹیکل 267A کے حوالے سے پارلیمنٹ کو دوبارہ غور کے لیے بھیجا جائے تو یہ بات درست ہوگی۔
We have considered the submissions made and have held extensive deliberations qua all the Articles under challenge .,ہم نے کی گئی گذارشات پر غور کیا ہے اور چیلنج کے تحت تمام مضامین کے بارے میں وسیع غور و خوض کیا ہے۔
The Court at this stage would Const.P.11/2010 etc.,عدالت اس مرحلے پر Const.P.11/2010 وغیرہ۔
"11 not like to express its opinion on the merits of the issues rais ed and arguments addressed and would rather , in the first instance , defer to the parliamentary opinion qua Article 175A on reconsideration by it in terms of this order.",11 اٹھائے گئے مسائل کی خوبیوں پر اپنی رائے کا اظہار کرنا پسند نہیں کریں گے اور دلائل کو حل کیا جائے گا اور اس کے بجائے، پہلی مثال میں، اس حکم کے لحاظ سے اس کی طرف سے نظر ثانی کرنے پر پارلیمنٹ کی رائے کو آرٹیکل 175A کو موخر کرے گا۔
We would thereafter decide all these petitions adverting to all the issues raised there in.,اس کے بعد ہم ان تمام درخواستوں کا فیصلہ کریں گے جو اس میں اٹھائے گئے تمام مسائل کی طرف اشارہ کرتے ہیں۔
"The Court is conscious that it is a creation of the Constitution which envisages, inter alia , a structure of governance based on trichotomy of powers in terms of which the functions of each organ have been constitutionally delineated keeping in view th e seminal concept of separation of powers.",عدالت اس بات سے آگاہ ہے کہ یہ آئین کی تخلیق ہے جس میں دیگر چیزوں کے ساتھ ساتھ، اختیارات کی ٹرائیکوٹومی پر مبنی حکمرانی کے ایک ڈھانچے کا تصور کیا گیا ہے جس کے لحاظ سے ہر عضو کے افعال کو اختیارات کی علیحدگی کے بنیادی تصور کو مدنظر رکھتے ہوئے آئینی طور پر بیان کیا گیا ہے۔
"the people, being trustees of a “sacred” trust in the distribution of powers under the Constitution, did not make Judges supreme arbiters on issues purely political.","عوام، آئین کے تحت اختیارات کی تقسیم میں ایک ""مقدس"" امانت کے امین ہونے کے ناطے، ججوں کو خالصتاً سیاسی معاملات پر اعلیٰ ثالث نہیں بناتے تھے۔"
"But they wanted th e Judges to do “right to all manner of people according to law, without fear or favour, affection or ill -will” (Oath under the Constitution ).","لیکن وہ چاہتے تھے کہ ججز ""ہر طرح کے لوگوں کے ساتھ قانون کے مطابق، بلا خوف و خطر، پیار یا بیمار"" (آئین کے تحت حلف) کریں۔"
"While examining the vires of Article 175A of the Constitution and its judicial enforcement, we are mindful of the mandate of the oath of office, its constraints and the fundamental principles which underpin judicial independence in the constitutional scheme envisaged by the founding fathers.",آئین کے آرٹیکل 175A اور اس کے عدالتی نفاذ کا جائزہ لیتے ہوئے، ہم عہدے کے حلف کے مینڈیٹ، اس کی رکاوٹوں اور ان بنیادی اصولوں کو ذہن میں رکھتے ہیں جو بانیوں کی طرف سے تصور کردہ آئینی اسکیم میں عدالتی آزادی کو تقویت دیتے ہیں۔
Judicial independence is one of the core values of our Constitution because i t is inextricably linked with the enforcement of fundamental rights [Article 184 (3) and Article 199 of the Constitution ] and the rule of law.,عدالتی آزادی ہمارے آئین کی بنیادی اقدار میں سے ایک ہے کیونکہ یہ بنیادی حقوق کے نفاذ [آئین کے آرٹیکل 184 (3) اور آرٹیکل 199] اور قانون کی حکمرانی سے جڑا ہوا ہے۔
"According an exalted position to this value , the Constitution in its very Preamble laid down that, ""the independe nce of the judiciary shall be fully secured"".","اس قدر کے اعلیٰ مقام کے مطابق، آئین نے اپنی تمہید میں لکھا ہے کہ ""عدلیہ کی آزادی کو مکمل طور پر محفوظ رکھا جائے گا""۔"
"The judiciary has not been made part of the Executive or the Legislature (Article 7) , its separation from the executive was made a constitutional command [Article 175(3) ] and right to “fair trial” is acknowledg ed as one of the fundamental rights (Article 10A) .","عدلیہ کو ایگزیکٹو یا مقننہ (آرٹیکل 7) کا حصہ نہیں بنایا گیا ہے، اس کی ایگزیکٹو سے علیحدگی کو آئینی حکم دیا گیا ہے [آرٹیکل 175(3)] اور ""منصفانہ ٹرائل"" کے حق کو بنیادی حقوق میں سے ایک کے طور پر تسلیم کیا گیا ہے (آرٹیکل 10A)۔"
"To further buttress this objective, the process of appointment of judges (Article 177) and their removal (Article 209) was kept insulated from legislature and the opinion s of the Chief Justice of Pakistan and Chief Justices of High Courts were given Const.P.11/2010 etc.",اس مقصد کو مزید تقویت دینے کے لیے ججوں کی تقرری (آرٹیکل 177) اور ان کی برطرفی (آرٹیکل 209) کو مقننہ سے الگ رکھا گیا اور چیف جسٹس آف پاکستان اور ہائی کورٹس کے چیف جسٹسز کی رائے Const.P.11/2010 وغیرہ کو دی گئی۔
12 weight which now stand judicially defined by this Court in Al -Jehad Trust case (PLD 1996 SC 324) .,12 وزن جو اب اس عدالت کے ذریعہ الجہاد ٹرسٹ کیس (PLD 1996 SC 324) میں عدالتی طور پر بیان کیا گیا ہے۔
"Judiciaries in all democratic setups are vulnerable to the power of legislatures to create, alter or impair judic ial structures including the mode of appointing, removing and remunerating the Judges.",تمام جمہوری نظاموں میں عدلیہ عدالتی ڈھانچے کو بنانے، تبدیل کرنے یا خراب کرنے کے لیے مقننہ کے اختیارات کے لیے خطرے سے دوچار ہوتی ہیں جس میں ججوں کی تقرری، ہٹانے اور تنخواہ دینے کا طریقہ بھی شامل ہے۔
"In our country, like in some other s as well, this power is tamper ed with constitutional guarantees that restrict legislative control over the judiciary.",ہمارے ملک میں، کچھ دوسرے اداروں کی طرح، اس طاقت کو آئینی ضمانتوں کے ساتھ چھیڑ چھاڑ کیا جاتا ہے جو عدلیہ پر قانون سازی کے کنٹرول کو محدود کرتی ہیں۔
"The Parliament w as conscious of this scheme , because other than inserting Article 175A , it did not amend any other provision on which is built the edifice of judicial independence or the provisions relating to the functions of judiciary.",پارلیمنٹ اس سکیم کے بارے میں ہوش میں ہے، کیونکہ آرٹیکل 175A داخل کرنے کے علاوہ، اس نے کسی دوسری شق میں ترمیم نہیں کی جس پر عدلیہ کی آزادی کی عمارت یا عدلیہ کے کاموں سے متعلق دفعات کو بنایا گیا ہو۔
"It was maintained by the learned counsel appearing for the Federation that the Parliament was motivat ed by higher considerations of liberal democracy, the rule of law and the independence of judiciary in passing the Eighteenth Amendment.",فیڈریشن کی طرف سے پیش ہونے والے ماہر وکیل کی طرف سے یہ بات برقرار رکھی گئی تھی کہ پارلیمنٹ اٹھارویں ترمیم کی منظوری میں لبرل جمہوریت، قانون کی حکمرانی اور عدلیہ کی آزادی کے اعلیٰ خیالات سے متاثر تھی۔
"Notwithstanding these noble objective s, serious apprehensions have been expressed that this provision may compromise ju dicial independence which require serious consideration.",ان عظیم مقاصد کے باوجود، سنگین خدشات کا اظہار کیا گیا ہے کہ یہ شق عدالتی آزادی سے سمجھوتہ کر سکتی ہے جس پر سنجیدگی سے غور کرنے کی ضرورت ہے۔
